Product Name,Price,Rating
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange","KSh 13,599",
Itel BudsAce TWS Earbuds ENC Super Bass 35-Hour Battery Life,KSh 989,
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 465,
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones - Pink,KSh 452,
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Green (2YRS WRTY)","KSh 9,093",
Stereo F9 Bluetooth Earphone  Power Headset,KSh 476,
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,997",
TWS Airpods Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 455,
Oraimo Powerbank  20000mAh - Black,"KSh 1,750",
RichRipple Pro6 Bluetooth Headsets Wireless Pods Pro Earpods Earphones - Black,KSh 542,
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Timber Black","KSh 8,999",
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones - Blue,KSh 479,
Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 631,
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black","KSh 12,999",
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,KSh 432,
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green (1YR WRTY)","KSh 8,999",
New Original A6S Wireless Earpods Bluetooth Earphone Sport Earbuds,KSh 387,
RichRipple A6S Bluetooth Headsets 9D Stereo Wireless Earphones Earpods - Black,KSh 459,
Itel Itel1.83'' Sones SmartWatch NativeStorm WaterProof,"KSh 1,550",
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Sage Green (2YRS WRTY)","KSh 12,999",
"Bontel 3310, 1.77'' 1000 MAh Battery, FM Radio, Black",KSh 990,
Itel BudsAce TWS Earbuds ENC Deep Bass 35-Hour Battery White,KSh 989,
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRS WRTY)","KSh 11,999",
RichRipple 3GN Bluetooth Headsets Wireless Pods Pro Earpods Earphones - White,KSh 542,
RichRipple 4in1 Pack Phone Camera Tripod Stand 1/4 Screw Head Remote Control Selfie,KSh 970,
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black (1YR WRTY)","KSh 19,499",
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,"KSh 13,770",
"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Forest Green (2YRs WRTY)","KSh 10,103",
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold (1YR WRTY)","KSh 8,999",
Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,KSh 427,
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone - Black,KSh 632,
V9 Wireless Bluetooth Earphone/Bluetooth Headphone,KSh 447,
"ARHANORY 6"" Ring Light For Selfie YouTube Video Phone Holder Stand With 3 Light Modes",KSh 533,
"VILLAON V20SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim","KSh 4,690",
"Tecno POP 9 120Hz 6.67"" 128GB ROM+3GB RAM*(+3GB RAM Extended)4.5G Network,5000mAh,  Infrared Remote Control- Black","KSh 11,499",
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,998",
Wireless Headset Bluetooth Earphone,KSh 437,
GUIXIA Tws Wireless Bluetooth Headsets Earphones Pro4,KSh 416,
LED Display Bluetooth Headsets 8D Stereo Wireless Earphones Earpods,KSh 399,
E6S Bluetooth Earpods Wireless Headset Noise Cancelling LED Display Earphones,KSh 485,
